43b5658 | Danila Danko | 2024-04-18 | fix(flake): resolve conflict between hlints from haskell-flake and treefmt
01eda1d | Danila Danko | 2024-04-18 | refactor(flake): move stack-shell to devShells
47299f8 | Danila Danko | 2024-04-18 | feat(flake): add yq-go to the default devShell
451bf85 | Danila Danko | 2024-04-18 | fix(flake): use zimbatm/mdsh
45beb17 | Danila Danko | 2024-04-17 | refactor(scripts > pipeline): split functions, format, run shellcheck
444b285 | Danila Danko | 2024-04-17 | fix(scripts > pipeline): calculate eo parser version from the eo-runtime version
4b054e7 | Danila Danko | 2024-04-17 | fix(pipeline): add --recursive
b00b472 | Danila Danko | 2024-04-16 | feat(ci): update, commit and push atoms
831a24d | Danila Danko | 2024-04-16 | fix(ci): don't try to commit and push when no markdown files to commit
058caa0 | Danila Danko | 2024-04-16 | refactor(normalizer): move phi programs to the data directory
450897e | Danila Danko | 2024-04-16 | fix(normalizer): use a named chunk with setup code
680ac1c | Danila Danko | 2024-04-16 | fix(normalizer): format with fourmolu
ce36826 | Danila Danko | 2024-04-16 | fix(ci): use mdbook with plugins
665a35e | Danila Danko | 2024-04-16 | fix(ci): run pipeline after updating markdown docs
8349e94 | Danila Danko | 2024-04-16 | fix(ci): also run on master
5e3d495 | Danila Danko | 2024-04-16 | fix(ci): fail on errors in docs
dd3458a | Danila Danko | 2024-04-16 | fix(ci): get the latest changes
387d059 | Danila Danko | 2024-04-16 | refactor(flake): use more "follows" in inputs
14c3bd2 | Danila Danko | 2024-04-16 | fix(flake): update-markdown script
307255e | Danila Danko | 2024-04-16 | fix(site): remove command that relies on generated phi
2934712 | Danila Danko | 2024-04-16 | refactor(normalizer): update code to use PyF
c4ba73d | Danila Danko | 2024-04-16 | fix(normalizer): switch from string-interpolate to PyF
575ba1d | Danila Danko | 2024-04-16 | fix(report): metrics sources
352cab6 | Danila Danko | 2024-04-15 | fix(pipeline): weird printf error
bff7c00 | Danila Danko | 2024-04-15 | fix(pipeline): enable normalization
7fb5071 | Danila Danko | 2024-04-15 | fix(proposals): minor errors
b86fed4 | Danila Danko | 2024-04-15 | refactor(proposals): - fix labels format - add bullet lists
b6a33a2 | Danila Danko | 2024-04-15 | feat(proposals): mention priority
6c0f822 | Danila Danko | 2024-04-15 | fix(pipeline): disable report on rust-tests
ce873f5 | Danila Danko | 2024-04-15 | feat(pipeline): enable bool-tests
2063355 | Danila Danko | 2024-04-15 | refactor(pipeline): script
38c6afb | Danila Danko | 2024-04-15 | fix(pipeline): shellcheck warning
f2a6aaa | Danila Danko | 2024-04-15 | fix(site): rename quick-start to pipeline
ece63cf | Danila Danko | 2024-04-15 | fix(pipeline): find .phi files
b4a789c | Danila Danko | 2024-04-15 | fix(pipeline): enable all commands
1502404 | Danila Danko | 2024-04-15 | fix(pipeline): normalize in parallel
6ee40d2 | Danila Danko | 2024-04-15 | fix(pipeline): run dataize with dependencies
aa4022e | Danila Danko | 2024-04-15 | feat(pipeline): check configs match tests
78def7a | Danila Danko | 2024-04-15 | fix(pipeline): configs
f723e6d | Danila Danko | 2024-04-15 | chore(pipeline): bump eo version
26815c1 | Danila Danko | 2024-04-15 | chore(repo): bump eo repo version
568e34e | Danila Danko | 2024-04-15 | fix(nix): treefmt config
9a8f824 | Danila Danko | 2024-04-15 | refactor(nix): format flake
7e85117 | Danila Danko | 2024-04-15 | fix(scripts): shellcheck warnings in pipeline
18823cf | Danila Danko | 2024-04-15 | chore(nix): update flake.lock
91e4350 | Danila Danko | 2024-04-15 | fix(nix): add prefixes for scripts
6b25e1f | Danila Danko | 2024-04-15 | fix(nix): default package and app
783cad0 | Danila Danko | 2024-04-15 | fix(nix): support stack
3102393 | Danila Danko | 2024-04-15 | fix(nix): implement mkShellApps locally
f809bcb | Danila Danko | 2024-04-10 | fix(stack): update resolver
6322db6 | Danila Danko | 2024-04-10 | fix(cabal.project): list all projects
27b7a05 | Danila Danko | 2024-04-10 | refactor(flake): - remove unnecessary packages - switch to haskell-flake
27d0c68 | Nikolai Kudasov | 2024-04-12 | chore: Bump version and update changelog
79d220e | Nikolai Kudasov | 2024-04-12 | fix: Rollback debug changes
